,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Annees,mois,trimestre,Marge_relative,Taux_profit_estime,Quantity,Ratio_Qte_Sales,délais livraison
100,101,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,rick bensley,home office,united states,chicago,illinois,60610,central,TEC-AC-10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,2017,8,3,0.10344827586206896,5.2841678695024746e-05,1,0.010419271484537801,4 days
101,102,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,rick bensley,home office,united states,chicago,illinois,60610,central,OFF-BI-10002609,office supplies,binders,avery hidden tab dividers for binding systems,1.788,2017,8,3,0.05660377358490566,9.844223712876579e-07,1,0.5592841163310962,4 days
102,103,CA-2017-129903,2017-12-01,2017-12-04,second class,GZ-14470,gary zandusky,consumer,united states,rochester,minnesota,55901,central,OFF-PA-10004040,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,2017,12,4,0.1851851851851852,1.3169677360850546e-05,1,0.04180602006688963,3 days
103,104,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,TEC-AC-10001552,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,2016,11,4,0.20689655172413793,0.0001315293997825147,1,0.004185921907440895,4 days
106,107,CA-2018-119004,2018-11-23,2018-11-28,standard class,JM-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,TEC-AC-10003499,technology,accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112,2018,11,4,0.380952380952381,4.08039769467958e-05,1,0.01349309153713299,5 days
107,108,CA-2018-119004,2018-11-23,2018-11-28,standard class,JM-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,TEC-PH-10002844,technology,phones,speck products candyshell flip case,27.992,2018,11,4,0.14814814814814817,1.5411605714252862e-05,1,0.03572449271220349,5 days
108,109,CA-2018-119004,2018-11-23,2018-11-28,standard class,JM-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,OFF-AR-10000390,office supplies,art,newell chalk holder,3.304,2018,11,4,0.0396039603960396,1.8190892140572826e-06,1,0.3026634382566586,5 days
109,110,CA-2016-129476,2016-10-15,2016-10-20,standard class,PA-19060,pete armstrong,home office,united states,orland park,illinois,60462,central,TEC-AC-10000844,technology,accessories,logitech gaming g510s - keyboard,339.96,2016,10,4,0.14388489208633093,0.0001871723877757003,1,0.0029415225320625956,5 days
110,111,CA-2018-146780,2018-12-25,2018-12-30,standard class,CV-12805,cynthia voltz,corporate,united states,new york city,new york,10035,east,FUR-FU-10001934,furniture,furnishings,magnifier swing arm lamp,41.96,2018,12,4,0.16666666666666666,2.3101992561090672e-05,1,0.023832221163012392,5 days
115,116,CA-2015-115259,2015-08-25,2015-08-27,second class,RC-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,OFF-PA-10004965,office supplies,paper,xerox 1921,23.976,2015,8,3,0.42857142857142855,1.3200509381427787e-05,1,0.04170837504170838,2 days
118,119,US-2016-136476,2016-04-05,2016-04-10,standard class,GG-14650,greg guthrie,corporate,united states,bristol,tennessee,37620,south,OFF-BI-10003650,office supplies,binders,gbc docubind 300 electric binding machine,157.794,2016,4,2,0.023255813953488375,8.687692598152388e-05,1,0.006337376579591112,5 days
119,120,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,FUR-FU-10002157,furniture,furnishings,artistic insta-plaque,47.04,2017,6,2,0.3,2.5898897284883345e-05,1,0.021258503401360544,3 days
120,121,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,30.84,2017,6,2,0.14336917562724014,1.6979634189324033e-05,1,0.0324254215304799,3 days
122,123,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,OFF-EN-10002500,office supplies,envelopes,globe weis peel & seel first class envelopes,115.02,2017,6,2,0.30612244897959184,6.332676797847114e-05,1,0.00869414014953921,3 days
123,124,CA-2017-103730,2017-06-12,2017-06-15,first class,SC-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,TEC-PH-10003875,technology,phones,kld oscar ii style snap-on ultra thin side flip synthetic leather cover case for htc one htc m7,68.04,2017,6,2,0.5384615384615384,3.746090500134913e-05,1,0.01469723691945914,3 days
129,130,US-2017-125969,2017-11-06,2017-11-10,second class,LS-16975,lindsay shagiari,home office,united states,los angeles,california,90004,west,FUR-FU-10003773,furniture,furnishings,eldon cleatmat plus chair mats for high pile carpets,238.56,2017,11,4,0.18292682926829265,0.00013134440765905127,1,0.0041918175720992625,4 days
130,131,US-2018-164147,2018-02-02,2018-02-05,first class,DW-13585,dorothy wardle,corporate,united states,columbus,ohio,43229,east,TEC-PH-10002293,technology,phones,anker 36w 4-port usb wall charger travel power adapter for iphone 5s 5c 5,59.97,2018,2,1,0.17647058823529413,3.301779060745013e-05,1,0.01667500416875104,3 days
131,132,US-2018-164147,2018-02-02,2018-02-05,first class,DW-13585,dorothy wardle,corporate,united states,columbus,ohio,43229,east,OFF-PA-10002377,office supplies,paper,xerox 1916,78.304,2018,2,1,0.09411764705882353,4.311197391572078e-05,1,0.012770739681242337,3 days
132,133,US-2018-164147,2018-02-02,2018-02-05,first class,DW-13585,dorothy wardle,corporate,united states,columbus,ohio,43229,east,OFF-FA-10002780,office supplies,fasteners,staples,21.456,2018,2,1,0.23076923076923075,1.1813068455451894e-05,1,0.04660700969425802,3 days
133,134,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,united states,roseville,california,95661,west,OFF-PA-10001804,office supplies,paper,xerox 195,20.04,2017,10,4,0.12195121951219512,1.1033458792284487e-05,1,0.0499001996007984,6 days
134,135,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,united states,roseville,california,95661,west,OFF-PA-10001736,office supplies,paper,xerox 1880,35.44,2017,10,4,0.05681818181818181,1.951226445102606e-05,1,0.028216704288939055,6 days
136,137,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,united states,roseville,california,95661,west,OFF-FA-10002988,office supplies,fasteners,ideal clamps,4.02,2017,10,4,0.0684931506849315,2.2132986200091633e-06,1,0.24875621890547267,6 days
137,138,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,united states,roseville,california,95661,west,OFF-BI-10004781,office supplies,binders,gbc wire binding strips,76.176,2017,10,4,0.3582089552238806,4.1940357133785586e-05,1,0.01312749422390254,6 days
138,139,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,united states,roseville,california,95661,west,OFF-SU-10001218,office supplies,supplies,fiskars softgrip scissors,65.88,2017,10,4,0.21428571428571427,3.6271669921941216e-05,1,0.015179113539769279,6 days
139,140,CA-2017-145583,2017-10-13,2017-10-19,standard class,LC-16885,lena creighton,consumer,united states,roseville,california,95661,west,FUR-FU-10001706,furniture,furnishings,longer-life soft white bulbs,43.12,2017,10,4,0.40462427745664736,2.37406558444764e-05,1,0.02319109461966605,6 days
141,142,CA-2018-106180,2018-09-18,2018-09-23,standard class,SH-19975,sally hughsby,corporate,united states,san francisco,california,94122,west,OFF-AR-10000940,office supplies,art,newell 343,8.82,2018,9,3,0.13513513513513514,4.856043240915628e-06,1,0.11337868480725623,5 days
142,143,CA-2018-106180,2018-09-18,2018-09-23,standard class,SH-19975,sally hughsby,corporate,united states,san francisco,california,94122,west,OFF-EN-10004030,office supplies,envelopes,convenience packs of business envelopes,10.86,2018,9,3,0.18518518518518517,5.979209704800875e-06,1,0.09208103130755065,5 days
143,144,CA-2018-106180,2018-09-18,2018-09-23,standard class,SH-19975,sally hughsby,corporate,united states,san francisco,california,94122,west,OFF-PA-10004327,office supplies,paper,xerox 1911,143.7,2018,9,3,0.23809523809523808,7.911716708838726e-05,1,0.006958942240779402,5 days
147,148,CA-2017-114489,2017-12-05,2017-12-09,standard class,JE-16165,justin ellison,corporate,united states,franklin,wisconsin,53132,central,TEC-PH-10000215,technology,phones,plantronics cordless phone headset with in-line volume - m214c,384.45,2017,12,4,0.423076923076923,0.0002116673269807271,1,0.002601118480946807,4 days
148,149,CA-2017-114489,2017-12-05,2017-12-09,standard class,JE-16165,justin ellison,corporate,united states,franklin,wisconsin,53132,central,TEC-PH-10001448,technology,phones,anker astro 15000mah usb portable charger,149.97,2017,12,4,0.25,8.256925224944634e-05,1,0.006668000266720011,4 days
150,151,CA-2017-114489,2017-12-05,2017-12-09,standard class,JE-16165,justin ellison,corporate,united states,franklin,wisconsin,53132,central,OFF-BI-10002735,office supplies,binders,gbc prestige therm-a-bind covers,171.55,2017,12,4,0.17667844522968199,9.445059160760498e-05,1,0.005829204313611192,4 days
151,152,CA-2017-158834,2017-03-13,2017-03-16,first class,TW-21025,tamara willingham,home office,united states,scottsdale,arizona,85254,west,OFF-AP-10000326,office supplies,appliances,belkin 7 outlet surgemaster surge protector with phone protection,157.92,2017,3,1,1.0,8.694629802782265e-05,1,0.006332320162107397,3 days
152,153,CA-2017-158834,2017-03-13,2017-03-16,first class,TW-21025,tamara willingham,home office,united states,scottsdale,arizona,85254,west,TEC-PH-10001254,technology,phones,jabra biz 2300 duo qd duo corded headset,203.184,2017,3,1,0.11764705882352942,0.00011186737980297061,1,0.0049216473738089616,3 days
153,154,CA-2016-124919,2016-05-31,2016-06-02,first class,SP-20650,stephanie phelps,corporate,united states,san jose,california,95123,west,OFF-PA-10001950,office supplies,paper,southworth 25% cotton antique laid paper & envelopes,58.38,2016,5,2,0.3017241379310345,3.214238145177487e-05,1,0.0171291538198013,2 days
154,155,CA-2016-124919,2016-05-31,2016-06-02,first class,SP-20650,stephanie phelps,corporate,united states,san jose,california,95123,west,OFF-PA-10002254,office supplies,paper,xerox 1883,105.52,2016,5,2,0.11976047904191617,5.809633591626043e-05,1,0.009476876421531463,2 days
156,157,CA-2016-118948,2016-05-28,2016-06-03,standard class,NK-18490,neil knudson,home office,united states,seattle,washington,98105,west,OFF-AR-10001547,office supplies,art,newell 311,6.63,2016,5,2,0.1079136690647482,3.6502910076270535e-06,1,0.15082956259426847,6 days
157,158,CA-2015-104269,2015-03-01,2015-03-06,second class,DB-13060,dave brooks,consumer,united states,seattle,washington,98115,west,FUR-CH-10004063,furniture,chairs,global deluxe high-back manager's chair,457.568,2015,3,1,0.052805280528052806,0.00025192403556227686,1,0.002185467515210854,5 days
158,159,CA-2017-114104,2017-11-20,2017-11-24,standard class,NP-18670,nora paige,consumer,united states,edmond,oklahoma,73034,central,OFF-LA-10002475,office supplies,labels,avery 519,14.62,2017,11,4,0.12048192771084337,8.049359657844272e-06,1,0.06839945280437756,4 days
160,161,CA-2017-162733,2017-05-11,2017-05-12,first class,TT-21070,ted trevino,consumer,united states,los angeles,california,90045,west,OFF-PA-10002751,office supplies,paper,xerox 1920,5.98,2017,5,2,0.06666666666666667,3.2924193402126365e-06,1,0.16722408026755853,1 days
161,162,CA-2016-119697,2016-12-28,2016-12-31,second class,EM-13960,eric murdock,consumer,united states,philadelphia,pennsylvania,19134,east,TEC-AC-10003657,technology,accessories,lenovo 17-key usb numeric keypad,54.384,2016,12,4,0.14814814814814817,2.994229655487024e-05,1,0.01838776110620771,3 days
162,163,CA-2017-154508,2017-11-16,2017-11-20,standard class,RD-19900,ruben dartt,consumer,united states,carlsbad,new mexico,88220,west,OFF-EN-10001990,office supplies,envelopes,staple envelope,28.4,2017,11,4,0.2173913043478261,1.563623900702991e-05,1,0.035211267605633804,4 days
163,164,CA-2017-113817,2017-11-07,2017-11-11,standard class,MJ-17740,max jones,consumer,united states,seattle,washington,98115,west,OFF-BI-10004002,office supplies,binders,wilson jones international size a4 ring binders,27.68,2017,11,4,0.1584158415841584,1.5239827313893942e-05,1,0.036127167630057806,4 days
